,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Confidence in national government,Democratic Quality,Standard deviation of ladder by country-year,"gini of household income reported in Gallup, by wp5-year"
385,5.03117370605469,9.09260845184326,0.947885274887085,61.005256652832,0.700345695018768,0.138080179691315,0.931158840656281,0.285957992076874,0.301548689603806,1.66000759601593,0.349621325731277
386,4.88515043258667,9.19109058380127,0.918516099452972,61.444938659668,0.688311696052551,0.0928777009248734,0.932385981082916,0.310268312692642,0.247455701231956,1.57906222343445,0.3798568546772
387,4.91292810440063,9.28334045410156,0.93474155664444,61.8463935852051,0.748014032840729,0.121606156229973,0.927854478359222,0.365311831235886,0.279379099607468,1.73175263404846,0.406407624483109
388,4.8248348236084,9.34166240692139,0.943436682224274,62.2064819335938,0.752354145050049,0.131046742200851,0.908596813678741,0.337257385253906,0.54719489812851,1.65627372264862,0.412042737007141
389,5.21872425079346,9.53363513946533,0.704032778739929,65.7438812255859,0.46170637011528,-0.192411661148071,0.755059719085693,0.355399817228317,0.392855793237686,2.30945730209351,0.355063587427139
390,5.07434177398682,9.56753349304199,0.735565185546875,65.97412109375,0.502264976501465,-0.176147788763046,0.693372130393982,0.392235279083252,0.322948843240738,2.1303973197937,0.351085603237152
391,5.2827205657959,9.58424377441406,0.862930357456207,66.1569290161133,0.502665519714355,0.0961624532938004,0.768465518951416,0.40211284160614,0.207932993769646,2.43780088424683,0.364288687705994
392,4.96965646743774,8.8325366973877,0.67582494020462,63.031608581543,0.756784617900848,-0.197840854525566,0.8449347615242,0.525867640972137,-0.547978043556213,1.93465876579285,0.558272898197174
393,5.14216041564941,8.86448287963867,0.597165703773499,63.3274917602539,0.57162994146347,-0.221898853778839,0.771112203598022,0.383581280708313,-0.60554426908493,1.88878357410431,0.621158957481384
394,4.57399129867554,9.15815162658691,0.762783586978912,55.0264358520508,0.849354982376099,-0.189191594719887,0.790228366851807,0.77954375743866,0.57701176404953,2.72456765174866,0.780119776725769
395,4.91686820983887,7.56288576126099,0.813067853450775,58.5821304321289,0.61615377664566,0.0554359517991543,0.949701964855194,0.415181666612625,-1.04793894290924,1.66517543792725,0.422157555818558
396,4.34967517852783,7.59933090209961,0.779038071632385,58.9752616882324,0.519062638282776,0.103623531758785,0.910801887512207,0.454812049865723,-1.03875505924225,1.82163643836975,0.571846127510071
397,3.80944466590881,7.62175369262695,0.740979373455048,59.3528137207031,0.524797677993774,0.0028548133559525,0.934563755989075,0.328487306833267,-0.952927350997925,1.6251927614212,0.447182059288025
398,4.23324489593506,7.65670680999756,0.733602344989777,59.7143478393555,0.637778401374817,0.0835500881075859,0.883494019508362,0.439799934625626,-1.02789771556854,1.77828943729401,0.454886734485626
399,4.604576587677,7.68507719039917,0.74009895324707,60.0602645874023,0.722265779972076,0.164696782827377,0.877340495586395,0.453570306301117,-0.840459585189819,1.83232855796814,0.407915890216827
400,4.97501468658447,7.7253532409668,0.785883367061615,60.3922996520996,0.711877644062042,0.135829910635948,0.840685844421387,0.588195621967316,-0.573530316352844,2.02918982505798,0.497268408536911
401,7.50187587738037,10.732967376709,0.956536889076233,70.7391738891602,0.921448230743408,0.336217671632767,0.398591846227646,0.636186301708221,1.20030152797699,1.3361097574234,0.46467462182045
402,7.56379795074463,10.7448024749756,0.938396096229553,71.1795883178711,0.925431549549103,0.322375476360321,0.359395891427994,0.603366792201996,1.33785545825958,1.29351055622101,0.446540862321854
403,7.47071552276611,10.7304754257202,0.938884675502777,71.0919342041016,0.877118647098541,0.274949789047241,0.433753788471222,0.574513912200928,1.39827644824982,1.35118913650513,0.352453529834747
404,7.40655040740967,10.7225608825684,0.924705445766449,71.2672424316406,0.91899585723877,0.291678547859192,0.50452995300293,0.542986929416656,1.35036993026733,1.34275984764099,0.394002586603165
405,7.32118844985962,10.7290229797363,0.908995747566223,71.2672424316406,0.910179615020752,0.318703919649124,0.45694836974144,0.525242269039154,1.31128704547882,1.41085231304169,0.45557427406311
406,7.22375631332397,10.3772430419922,0.975642204284668,70.8606796264648,0.917752504348755,0.244655609130859,0.320748180150986,0.639135181903839,1.38459944725037,1.68634033203125,0.426387578248978
407,7.19063806533813,10.3961811065674,0.953649878501892,71.0384292602539,0.934768736362457,0.274245321750641,0.269330203533173,0.63515305519104,1.4972859621048,1.71096062660217,0.398480445146561
408,7.24962997436523,10.4176969528198,0.93002861738205,71.2590103149414,0.901853084564209,0.276756107807159,0.289297938346863,0.614699959754944,1.49934506416321,1.7226243019104,0.385313540697098
409,7.28015184402466,10.4256811141968,0.958153486251831,71.4795989990234,0.944000422954559,0.227094605565071,0.312235802412033,0.543508648872375,1.53810262680054,1.66417753696442,0.400911033153534
410,7.30589246749878,10.4418134689331,0.942380845546722,71.4774551391602,0.931882441043854,0.338245302438736,0.272608608007431,0.629681348800659,1.52466678619385,1.6751971244812,0.394328236579895
411,5.35280466079712,8.28114795684814,0.834688067436218,64.2233657836914,0.746065020561218,0.0744713023304939,0.79448676109314,0.372536182403564,-0.391079366207123,2.68090724945068,0.45299768447876
412,5.68669939041138,8.30008792877197,0.863151550292969,64.510009765625,0.791773319244385,0.0230803042650223,0.801728904247284,0.403349727392197,-0.500458598136902,2.52376937866211,0.49160099029541
413,5.38570547103882,8.34840202331543,0.800305128097534,64.7901763916016,0.77859103679657,-0.0151414787396789,0.760242521762848,0.539968430995941,-0.429770410060883,2.70356440544128,0.507106959819794
414,5.44800615310669,8.39094829559326,0.894054412841797,65.0629806518555,0.850304901599884,0.0217971242964268,0.643578767776489,0.573395669460297,-0.454420626163483,2.46235227584839,0.461336970329285
415,5.7722749710083,8.42367649078369,0.868216037750244,65.3280029296875,0.859149038791656,0.0437318459153175,0.636246740818024,0.609894692897797,-0.355478525161743,2.52458190917969,0.484314858913422
416,6.27526664733887,8.45690059661865,0.838567435741425,65.5869750976563,0.817320644855499,0.108362562954426,0.698808014392853,0.584542393684387,-0.207084059715271,2.72054743766785,0.437158763408661
417,4.26716995239258,6.66850996017456,0.771265149116516,48.546630859375,0.880042135715485,0.0146856158971786,0.483152985572815,0.584044814109802,-0.970524907112122,1.30900597572327,0.470181077718735
418,4.1010160446167,6.71009874343872,0.654964983463287,49.3720359802246,0.817219734191895,7.7442873589e-06,0.528980314731598,0.779490768909454,-0.921826899051666,1.24691569805145,0.424724340438843
